Name,starRating,Komment,reviews.createTime,review_clean,sentiment,rating_num,YearMonth,text_len,word_count
Markus Kofler,FOUR,"Anmeldung war unkompliziert und schnell erledigt. Bin mit dem Service bisher sehr zufrieden.

(Translated by Google)
Registration was quick and easy. I'm very satisfied with the service so far.",2023-09-16 08:23:04.943,"anmeldung war unkompliziert und schnell erledigt bin mit dem service bisher sehr zufrieden

translated by google
registration was quick and easy im very satisfied with the service so far",pos,4,2023-09,186,29
Patrizia Rudolf,FIVE,"der wechsel funktionierte einfachst und reibungslos, ohne etwas tun zu müssen. erfreulicher geht es nicht!

(Translated by Google)
The change was simple and smooth without having to do anything. It couldn't be more enjoyable!",2023-09-16 06:55:00.517,"der wechsel funktionierte einfachst und reibungslos ohne etwas tun zu mssen erfreulicher geht es nicht

translated by google
the change was simple and smooth without having to do anything it couldnt be more enjoyable",pos,5,2023-09,216,34
Gertraud Knoebl,FIVE,"Wechsel unkompliziert, prompte Reaktion, innerhalb kürzester Zeit war der Wechsel vollzogen

(Translated by Google)
Change was uncomplicated, prompt response, the change was completed within a very short time",2023-09-16 05:50:23.907,"wechsel unkompliziert prompte reaktion innerhalb krzester zeit war der wechsel vollzogen

translated by google
change was uncomplicated prompt response the change was completed within a very short time",pos,5,2023-09,201,28
Harald Javurek,FIVE,"Welchsel hat sehr gut funktioniert das andere wird man sehen.

(Translated by Google)
Which one worked very well, we'll see what else happens.",2023-09-15 08:39:32.227,"welchsel hat sehr gut funktioniert das andere wird man sehen

translated by google
which one worked very well well see what else happens",pos,5,2023-09,136,23
Otto Bachner,FOUR,"Der Wechsel von der EVN zu MAXENERGY war komplett problemlos. Bin bis jetzt sehr zufrieden. Hoffe es bleibt so!

(Translated by Google)
The switch from EVN to MAXENERGY was completely seamless. I'm very satisfied so far. I hope it stays that way!",2023-09-15 06:02:30.047,"der wechsel von der evn zu maxenergy war komplett problemlos bin bis jetzt sehr zufrieden hoffe es bleibt so

translated by google
the switch from evn to maxenergy was completely seamless im very satisfied so far i hope it stays that way",pos,4,2023-09,237,42
Christian Bis,FIVE,"Top Anbieter

(Translated by Google)
Top provider",2023-09-14 03:35:37.720,"top anbieter

translated by google
top provider",pos,5,2023-09,47,7
Alfred Harl,FIVE,"Einfache und rasche Umstellung.

(Translated by Google)
Simple and quick changeover.",2023-09-13 07:15:28.410,"einfache und rasche umstellung

translated by google
simple and quick changeover",pos,5,2023-09,80,11
Waltraud Hirner,FIVE,"Der Umstieg war total einfach und problemlos. EVN war mir einfach zu teuer!!

(Translated by Google)
The transition was totally easy and hassle-free. EVN was simply too expensive for me!!",2023-09-12 14:57:10.427,"der umstieg war total einfach und problemlos evn war mir einfach zu teuer

translated by google
the transition was totally easy and hasslefree evn was simply too expensive for me",pos,5,2023-09,178,30
Alois Stöffelbauer,ONE,"Ich kriege jetzt 2 getrennte Rechnungen für Netz und Gaskosten, was mich sehr stört.

(Translated by Google)
I now get 2 separate bills for network and gas costs, which really bothers me.",2023-09-12 07:03:49.050,"ich kriege jetzt 2 getrennte rechnungen fr netz und gaskosten was mich sehr strt

translated by google
i now get 2 separate bills for network and gas costs which really bothers me",neg,1,2023-09,179,32
Nadine Nowak,ONE,"Eigentlich hat MaxEnergy KEINEN Stern verdient.
Seit 2 Wochen bin ich am telefonieren ab wann ich Strom bekomme. Und immer die selbe Aussage: ich leite es weiter und die Kollegen melden sich per Mail bei ihnen. Seit 2 Wochen meldet sich niemand. Ich habe ab morgen keinen Strom mehr und maxenergy schafft es einfach nicht mir eine Auslunft zu geben, schieben es immer auf den Netzbetreiber und meinen das Problem liegt nicht an Ihnen. Gott sei dank sitzen wenigstens beim Netzbetreiber kompetente Leute die mir weiterhelfen konnten. Obwohl maxenergy anbietet dass sie meinen vorigen Stromanbieter kündigen,  hab ich es Gott sei dank selbst gemacht. Sonst würde wahrscheinlich noch mehr schief gehen.

Die Leute bei maxenergy sind zwar freundlich,  bringt aber nichts wenn ich trotzdem keinen Strom bekomme.

(Translated by Google)
Actually, MaxEnergy doesn't deserve ONE star.
I've been on the phone for 2 weeks about when I'll get electricity. And always the same statement: I will forward it and my colleagues will contact you by email. No one has contacted me for 2 weeks. I'll have no electricity tomorrow and maxenergy just can't give me an answer, they always blame it on the network operator and say the problem isn't yours. Thank God at least there are competent people at the network operator who could help me. Although maxenergy offers to cancel my previous electricity provider, thank God I did it myself. Otherwise more things would probably go wrong.

The people at maxenergy are friendly, but it's no use if I still don't get any electricity.",2023-09-11 09:14:44.403,"eigentlich hat maxenergy keinen stern verdient
seit 2 wochen bin ich am telefonieren ab wann ich strom bekomme und immer die selbe aussage ich leite es weiter und die kollegen melden sich per mail bei ihnen seit 2 wochen meldet sich niemand ich habe ab morgen keinen strom mehr und maxenergy schafft es einfach nicht mir eine auslunft zu geben schieben es immer auf den netzbetreiber und meinen das problem liegt nicht an ihnen gott sei dank sitzen wenigstens beim netzbetreiber kompetente leute die mir weiterhelfen konnten obwohl maxenergy anbietet dass sie meinen vorigen stromanbieter kndigen  hab ich es gott sei dank selbst gemacht sonst wrde wahrscheinlich noch mehr schief gehen

die leute bei maxenergy sind zwar freundlich  bringt aber nichts wenn ich trotzdem keinen strom bekomme

translated by google
actually maxenergy doesnt deserve one star
ive been on the phone for 2 weeks about when ill get electricity and always the same statement i will forward it and my colleagues will contact you by email no one has contacted me for 2 weeks ill have no electricity tomorrow and maxenergy just cant give me an answer they always blame it on the network operator and say the problem isnt yours thank god at least there are competent people at the network operator who could help me although maxenergy offers to cancel my previous electricity provider thank god i did it myself otherwise more things would probably go wrong

the people at maxenergy are friendly but its no use if i still dont get any electricity",neg,1,2023-09,1518,256
Christoph ???,FIVE,"Daweil alles gut

(Translated by Google)
So everything is fine",2023-09-10 11:36:55.460,"daweil alles gut

translated by google
so everything is fine",pos,5,2023-09,60,10
Andreas Hofer,FIVE,"Der Wechsel ging rasch und unkompliziert vonstatten, bin sehr zufrieden.

(Translated by Google)
The change was quick and uncomplicated, I am very satisfied.",2023-09-09 07:23:45.560,"der wechsel ging rasch und unkompliziert vonstatten bin sehr zufrieden

translated by google
the change was quick and uncomplicated i am very satisfied",pos,5,2023-09,151,23
Willy Wanker,FIVE,"Super Unternehmen.

(Translated by Google)
Great company.",2023-09-08 14:55:31.823,"super unternehmen

translated by google
great company",pos,5,2023-09,53,7
Elise BUCHALL,FIVE,"Unkomplizierter Wechsel!

(Translated by Google)
Uncomplicated change!",2023-09-08 13:50:16.213,"unkomplizierter wechsel

translated by google
uncomplicated change",pos,5,2023-09,66,7
Hermann Maier,FIVE,"Alles erledigt ohne dass wir etwas bemerkt hätten. Perfekt gemacht.

(Translated by Google)
Everything was done without us noticing anything. Perfectly done.",2023-09-08 06:15:56.017,"alles erledigt ohne dass wir etwas bemerkt htten perfekt gemacht

translated by google
everything was done without us noticing anything perfectly done",pos,5,2023-09,150,22
Renate mayr,FIVE,"schneller und problemloser wechsel!

(Translated by Google)
quick and easy change!",2023-09-08 06:00:56.817,"schneller und problemloser wechsel

translated by google
quick and easy change",pos,5,2023-09,78,11
peter Kogler,FIVE,"Der Wechsel war einfach und unkompliziert.
An den neuen Strom Geruch muss ich mich aber erst gewöhnen.

(Translated by Google)
The switch was easy and straightforward.

But I still have to get used to the new smell of electricity.",2023-09-07 10:24:09.997,"der wechsel war einfach und unkompliziert
an den neuen strom geruch muss ich mich aber erst gewhnen

translated by google
the switch was easy and straightforward

but i still have to get used to the new smell of electricity",pos,5,2023-09,223,39
Josef Müller,FIVE,"Hat sauber und unterbrechungsfrei funktioniert

(Translated by Google)
Worked cleanly and without interruption",2023-09-07 07:45:37.453,"hat sauber und unterbrechungsfrei funktioniert

translated by google
worked cleanly and without interruption",pos,5,2023-09,108,13
Rahpheus87,FIVE,"Anbieterwechsel super einfach und unkompliziert abgelaufen.Gaskosten auf jedenfall um mehr als die Hälfte gesunken

(Translated by Google)
Switching provider was super easy and uncomplicated. Gas costs have definitely dropped by more than half",2023-09-07 05:03:09.127,"anbieterwechsel super einfach und unkompliziert abgelaufengaskosten auf jedenfall um mehr als die hlfte gesunken

translated by google
switching provider was super easy and uncomplicated gas costs have definitely dropped by more than half",pos,5,2023-09,238,33
Heidemaria Schmid,FIVE,"Super Service,
alles hat automatisch und ohne Probleme funktioniert!

(Translated by Google)
Great service,
everything worked automatically and without any problems!",2023-09-07 04:40:15.567,"super service
alles hat automatisch und ohne probleme funktioniert

translated by google
great service
everything worked automatically and without any problems",pos,5,2023-09,159,21
Zyhro HD,FIVE,"Schneller unkomplizierter Wechsel!

(Translated by Google)
Quick and easy change!",2023-09-07 04:05:24.263,"schneller unkomplizierter wechsel

translated by google
quick and easy change",pos,5,2023-09,77,10
Walter Hammerschmied,FIVE,"Klappt alles bestens, empfehlenswert

(Translated by Google)
Everything works fine, recommended",2023-09-05 19:16:19.133,"klappt alles bestens empfehlenswert

translated by google
everything works fine recommended",pos,5,2023-09,91,11
Franz Strauss,ONE,"Preislich ganz okay, wobei das mit der Strompreisbremse ja quasi egal ist
Die Dauer, bis endlich Strom geliefert wurde war ewig lang (fast 1 monat)
War im Grunde egal, weil ich in der Wohnung noch nicht gewohnt habe, wäre sonst aber eine Katastrophe gewesen. Der Netzbetreiber selbst hat es dann in weniger als einer Stunde freigeschaltet. Die Verzögerung war also wohl eindeutig maxenergy

(Translated by Google)
The price is okay, although the electricity price brake doesn't really matter
The time until electricity was finally delivered was forever (almost 1 month)
It didn't really matter because I didn't live in the apartment yet, but otherwise it would have been a disaster. The network operator itself then activated it in less than an hour. So the delay was clearly maxenergy",2023-09-05 12:25:05.363,"preislich ganz okay wobei das mit der strompreisbremse ja quasi egal ist
die dauer bis endlich strom geliefert wurde war ewig lang fast 1 monat
war im grunde egal weil ich in der wohnung noch nicht gewohnt habe wre sonst aber eine katastrophe gewesen der netzbetreiber selbst hat es dann in weniger als einer stunde freigeschaltet die verzgerung war also wohl eindeutig maxenergy

translated by google
the price is okay although the electricity price brake doesnt really matter
the time until electricity was finally delivered was forever almost 1 month
it didnt really matter because i didnt live in the apartment yet but otherwise it would have been a disaster the network operator itself then activated it in less than an hour so the delay was clearly maxenergy",neg,1,2023-09,764,128
Bernd R.,ONE,"ACHTUNG!

MAXENERGIE bietet keine Gesamtrechrechnung an.
Bedeutet auf der Website wird ein sehr günstiger Preis angezeigt und es ist nirgendwo zu sehen was der Gesamtbetrag Monatlich ist. Nach Abschluss des Vertrages wird von Netzversorger eine separate Rechnung ausgestellt.

Somit ist Maxenergy wieder viel teurer als andere anderen Anbieter.

Kundenservice ist telefonisch nicht erreichbar und es wird ständig aufgelegt.

(Translated by Google)
DANGER!

MAXENERGIE does not offer a total calculation.
This means that a very low price is displayed on the website and it is nowhere to be seen what the total monthly amount is. After the contract has been concluded, the network provider will issue a separate invoice.

This means that Maxenergy is again much more expensive than other providers.

Customer service cannot be reached by phone and they constantly hang up on you.",2023-09-05 06:19:21.880,"achtung

maxenergie bietet keine gesamtrechrechnung an
bedeutet auf der website wird ein sehr gnstiger preis angezeigt und es ist nirgendwo zu sehen was der gesamtbetrag monatlich ist nach abschluss des vertrages wird von netzversorger eine separate rechnung ausgestellt

somit ist maxenergy wieder viel teurer als andere anderen anbieter

kundenservice ist telefonisch nicht erreichbar und es wird stndig aufgelegt

translated by google
danger

maxenergie does not offer a total calculation
this means that a very low price is displayed on the website and it is nowhere to be seen what the total monthly amount is after the contract has been concluded the network provider will issue a separate invoice

this means that maxenergy is again much more expensive than other providers

customer service cannot be reached by phone and they constantly hang up on you",neg,1,2023-09,860,134
Silke Kainer,ONE,"Telefonisch kommt man nicht durch, hundert fragen wo man hin möchte und zum Schluss fällt man raus...

(Translated by Google)
You can't get through on the phone, ask a hundred questions where you want to go and in the end you're dropped...",2023-09-02 09:59:19.783,"telefonisch kommt man nicht durch hundert fragen wo man hin mchte und zum schluss fllt man raus

translated by google
you cant get through on the phone ask a hundred questions where you want to go and in the end youre dropped",neg,1,2023-09,225,42
Jeanette Kaucic,FIVE,"Es hat alles reibungslos funktioniert!

(Translated by Google)
Everything worked smoothly!",2023-09-02 07:52:44.057,"es hat alles reibungslos funktioniert

translated by google
everything worked smoothly",pos,5,2023-09,86,11
Whyidk,TWO,"Keine Gesamtrechnungen, schafft es nicht Geld vom angegebenem Konto abzubuchen und verteilt daraufhin Mahnungen, ist telefonisch nicht erreichbar. Enttäuschender Service. Wenigstens ist die Website schön.

(Translated by Google)
No total invoices, unable to debit money from the specified account and then issues reminders, cannot be reached by phone. Disappointing service. At least the website is nice.",2023-09-01 15:36:38.467,"keine gesamtrechnungen schafft es nicht geld vom angegebenem konto abzubuchen und verteilt daraufhin mahnungen ist telefonisch nicht erreichbar enttuschender service wenigstens ist die website schn

translated by google
no total invoices unable to debit money from the specified account and then issues reminders cannot be reached by phone disappointing service at least the website is nice",neg,2,2023-09,390,56
Leo,FIVE,"Rasch und einfach, keine Probleme

(Translated by Google)
Quick and easy, no problems",2023-08-30 08:15:35.917,"rasch und einfach keine probleme

translated by google
quick and easy no problems",pos,5,2023-08,81,13
Markus Kirchberger,FIVE,"Wechsel war unkompliziert, bin zufrieden

(Translated by Google)
The change was uncomplicated, I'm satisfied",2023-08-30 08:06:50.137,"wechsel war unkompliziert bin zufrieden

translated by google
the change was uncomplicated im satisfied",pos,5,2023-08,103,14
Melitta Hofstätter,FIVE,"Der Wechsel ging schnell und ohne Komplikationen. Erfreulich!

(Translated by Google)
The change was quick and without complications. Delightful!",2023-08-30 07:39:56.753,"der wechsel ging schnell und ohne komplikationen erfreulich

translated by google
the change was quick and without complications delightful",pos,5,2023-08,139,19
Harald Grubauer,FIVE,"Der Wechsel zu MAXENERGY war sehr einfach und unkompliziert.

(Translated by Google)
Switching to MAXENERGY was very easy and straightforward.",2023-08-30 05:13:32.837,"der wechsel zu maxenergy war sehr einfach und unkompliziert

translated by google
switching to maxenergy was very easy and straightforward",pos,5,2023-08,138,20
Markus,ONE,"Per 23.08.2023 den Vertrag zu MAXENERGY gewechselt.
Am nächsten Tag wurde der gewählte Tarif spürbar günstiger!
Bei einem Anruf ob es hier ein kulantes Entgegenkommen (Preisanpassung) gäbe, wurde mir nur wiederholt gesagt das man nichts für mich machen könne! Es ist mir klar das man bei einem Vertragsabschluss eine Preisbindung auf 1 Jahr hat; aber da der Preis hier ein paar Stunden nach dem Wechsel gesunken ist, sollte von einem seriösen Anbieter ein Entgegenkommen erwartet werden!

(Translated by Google)
Switched the contract to MAXENERGY on August 23, 2023.
The next day the selected tariff became noticeably cheaper!
When I called to ask if there was any accommodating accommodation (price adjustment), I was repeatedly told that there was nothing they could do for me! It is clear to me that when you sign a contract you have a fixed price for 1 year; but since the price dropped a few hours after the change, you should expect accommodation from a reputable provider!",2023-08-25 07:15:13.383,"per 23082023 den vertrag zu maxenergy gewechselt
am nchsten tag wurde der gewhlte tarif sprbar gnstiger
bei einem anruf ob es hier ein kulantes entgegenkommen preisanpassung gbe wurde mir nur wiederholt gesagt das man nichts fr mich machen knne es ist mir klar das man bei einem vertragsabschluss eine preisbindung auf 1 jahr hat aber da der preis hier ein paar stunden nach dem wechsel gesunken ist sollte von einem serisen anbieter ein entgegenkommen erwartet werden

translated by google
switched the contract to maxenergy on august 23 2023
the next day the selected tariff became noticeably cheaper
when i called to ask if there was any accommodating accommodation price adjustment i was repeatedly told that there was nothing they could do for me it is clear to me that when you sign a contract you have a fixed price for 1 year but since the price dropped a few hours after the change you should expect accommodation from a reputable provider",neg,1,2023-08,948,161
Günther Pfeiffer,THREE,"Die Ummeldung hat geklappt, mehr Erfahrungen habe ich noch nicht.

(Translated by Google)
The re-registration worked, I don't have any more experience yet.",2023-08-22 11:54:02.510,"die ummeldung hat geklappt mehr erfahrungen habe ich noch nicht

translated by google
the reregistration worked i dont have any more experience yet",neu,3,2023-08,147,23
Steffi M.,FIVE,"Hat alles ohne Probleme und sehr schnell funktioniert.

(Translated by Google)
Everything worked without any problems and very quickly.",2023-08-22 08:16:37.260,"hat alles ohne probleme und sehr schnell funktioniert

translated by google
everything worked without any problems and very quickly",pos,5,2023-08,131,19
MwMB Wieser,FIVE,"Tolle Abwicklung

(Translated by Google)
Great transaction",2023-08-22 07:14:55.097,"tolle abwicklung

translated by google
great transaction",pos,5,2023-08,56,7
Wilhelm Meyer,FIVE,"Unkomplizierter Wechsel des Anbieters, günstiger Tarif.

(Translated by Google)
Easy change of provider, affordable tariff.",2023-08-21 19:11:56.920,"unkomplizierter wechsel des anbieters gnstiger tarif

translated by google
easy change of provider affordable tariff",pos,5,2023-08,116,15
Walter Hössinger,FIVE,"Ging ganz einfach

(Translated by Google)
It was very easy",2023-08-19 07:33:43.573,"ging ganz einfach

translated by google
it was very easy",pos,5,2023-08,56,10
Adolf Kaucic,FIVE,"War wirklich einfach. Max Energie hat alle Kündigungsformalitäten erledigt. Bis jetzt 5 Sterne von mir.

(Translated by Google)
Was really easy. Max Energie has completed all termination formalities. 5 stars from me so far.",2023-08-19 07:10:36.187,"war wirklich einfach max energie hat alle kndigungsformalitten erledigt bis jetzt 5 sterne von mir

translated by google
was really easy max energie has completed all termination formalities 5 stars from me so far",pos,5,2023-08,213,34
Michael Schreitl,FIVE,"Umstieg auf MAXENERGY war sehr einfach und übersichtlich.

(Translated by Google)
Switching to MAXENERGY was very easy and clear.",2023-08-19 05:31:53.487,"umstieg auf maxenergy war sehr einfach und bersichtlich

translated by google
switching to maxenergy was very easy and clear",pos,5,2023-08,124,19
Andreas Bieringer,FIVE,"Es hat alles geklappt.

(Translated by Google)
Everything worked out.",2023-08-19 04:39:50.837,"es hat alles geklappt

translated by google
everything worked out",pos,5,2023-08,65,10
Mary Maisel,FIVE,"Einfacher Abschluss, toller Service. Sehr zu empfehlen! Würde jederzeit wieder wechseln.

(Translated by Google)
Easy deal, great service. Highly recommended! Would change again at any time.",2023-08-17 22:17:27.643,"einfacher abschluss toller service sehr zu empfehlen wrde jederzeit wieder wechseln

translated by google
easy deal great service highly recommended would change again at any time",pos,5,2023-08,179,26
Thomas Zandomeneghi,FIVE,"Problemlose Abwicklung des Vertragswechsels.

(Translated by Google)
Hassle-free processing of the contract change.",2023-08-17 12:15:06.940,"problemlose abwicklung des vertragswechsels

translated by google
hasslefree processing of the contract change",pos,5,2023-08,110,13
CI Werner T Rauch,FIVE,"Super gut, danke. Lieben Gruß

(Translated by Google)
Super good, thank you. Kind regards",2023-08-16 04:18:44.127,"super gut danke lieben gru

translated by google
super good thank you kind regards",pos,5,2023-08,82,14
Robert Schneider,FOUR,"Anmeldung und Umstieg haben ohne nennenswerte Probleme geklappt! Die Abbuchung erfolgt monatlich und da ich erst seit letztem Monat Kunde bin habe ich noch keine Abrechnung bekommen.
Das Einzige was evtl. jemand stören könnte, ist die Tatsache, dass mein alter Vertrag gekündigt wurde obwohl ich das nicht wollte!

(Translated by Google)
Registration and switching worked without any significant problems! The debit is made monthly and since I've only been a customer since last month, I haven't received a bill yet.
The only thing that could possibly bother someone is the fact that my old contract was canceled even though I didn't want it!",2023-08-14 07:03:24.157,"anmeldung und umstieg haben ohne nennenswerte probleme geklappt die abbuchung erfolgt monatlich und da ich erst seit letztem monat kunde bin habe ich noch keine abrechnung bekommen
das einzige was evtl jemand stren knnte ist die tatsache dass mein alter vertrag gekndigt wurde obwohl ich das nicht wollte

translated by google
registration and switching worked without any significant problems the debit is made monthly and since ive only been a customer since last month i havent received a bill yet
the only thing that could possibly bother someone is the fact that my old contract was canceled even though i didnt want it",pos,4,2023-08,624,103
Mahdi Ghanbari,FIVE,"It was a straightforward procedure to switch to MAXENERGY provide, as they took care of every step.",2023-08-11 07:34:33.463,it was a straightforward procedure to switch to maxenergy provide as they took care of every step,pos,5,2023-08,97,17
stefan Engleder,FIVE,"Wechsel war OK.
Strom fließt problemlos
Die Kosten mit dem Rabatt Passen

(Translated by Google)
Change was OK.
Electricity flows smoothly
The costs match the discount",2023-08-09 06:43:39.643,"wechsel war ok
strom fliet problemlos
die kosten mit dem rabatt passen

translated by google
change was ok
electricity flows smoothly
the costs match the discount",pos,5,2023-08,162,26
harald wurzenberger,ONE,"Wechsel zu Maxekrnergy hat überhaupt nicht funktioniert, war einen halben Tag ohne Stromversorgung, Maxenergy ruft nicht zurück, beantwortet keine eMails

(Translated by Google)
Switching to Maxekrnergy didn't work at all, was without power for half a day, Maxenergy doesn't call back, doesn't answer emails",2023-08-07 06:52:16.710,"wechsel zu maxekrnergy hat berhaupt nicht funktioniert war einen halben tag ohne stromversorgung maxenergy ruft nicht zurck beantwortet keine emails

translated by google
switching to maxekrnergy didnt work at all was without power for half a day maxenergy doesnt call back doesnt answer emails",neg,1,2023-08,294,44
Gerald Sinabell,FIVE,"Alles perfekt gelaufen!

(Translated by Google)
Everything went perfectly!",2023-08-05 04:46:02.030,"alles perfekt gelaufen

translated by google
everything went perfectly",pos,5,2023-08,70,9
Susanne Fraunbaum,FIVE,"Der Wechsel funktionierte unkompliziert und einwandfrei

(Translated by Google)
The change was uncomplicated and flawless",2023-08-05 02:53:48.473,"der wechsel funktionierte unkompliziert und einwandfrei

translated by google
the change was uncomplicated and flawless",pos,5,2023-08,119,15
Thomas Hadarics,FIVE,"Alles perfekt, telefonische Auskunft gut, Anfrage per Mail rasch und gut beantwortet alles sehr schnell und einfach.

(Translated by Google)
Everything was perfect, information was good over the phone, inquiries via email were answered quickly and well, everything was very quick and easy.",2023-08-05 01:58:56.817,"alles perfekt telefonische auskunft gut anfrage per mail rasch und gut beantwortet alles sehr schnell und einfach

translated by google
everything was perfect information was good over the phone inquiries via email were answered quickly and well everything was very quick and easy",pos,5,2023-08,280,43
Daniel Jelis,FIVE,"Schneller, unkomplizierter Wechsel bei guten Preisen

(Translated by Google)
Fast, uncomplicated change at good prices",2023-08-01 13:22:19.653,"schneller unkomplizierter wechsel bei guten preisen

translated by google
fast uncomplicated change at good prices",pos,5,2023-08,114,15
manfred obermayr,FIVE,"Ich bin seit Anfang des Jahres neu.bei Maxenergie und bin voll zufrieden. Der Wechsel funktionierte einwandfrei und bei Fragen wird prompt geantwortet

(Translated by Google)
I've been new to Maxenergie since the beginning of the year and am completely satisfied. The change worked perfectly and questions were answered promptly",2023-08-01 12:36:40.950,"ich bin seit anfang des jahres neubei maxenergie und bin voll zufrieden der wechsel funktionierte einwandfrei und bei fragen wird prompt geantwortet

translated by google
ive been new to maxenergie since the beginning of the year and am completely satisfied the change worked perfectly and questions were answered promptly",pos,5,2023-08,322,49
Nora Ebner,FIVE,"Toller Kundenservice bei der Hotline - nur 1 Minuten Wartezeit und sehr freundliche, bemühte Mitarbeiterin!

(Translated by Google)
Great customer service on the hotline - only a 1 minute wait and a very friendly, hard-working employee!",2023-07-31 14:40:34.977,"toller kundenservice bei der hotline  nur 1 minuten wartezeit und sehr freundliche bemhte mitarbeiterin

translated by google
great customer service on the hotline  only a 1 minute wait and a very friendly hardworking employee",pos,5,2023-07,226,34
Sandra Kamauf,ONE,"Kundenservice gleich NULL. machen mit den Kunden was sie wollen. Rückrufe werden versprochen, keiner meldet sich. Fachabteilung zu keinster Tageszeit erreichbar. Auf Email erhält man 0185 Antworten. hier ist der Kunde absoluter Bittsteller und wird von vorn bis hinten verarscht. wir versuchen uns seit 3 Monaten vom Teilzahlungsbetrag runtersetzen zu lassen weil wir eine Photovoltaik installiert haben. ist unmöglich bei Maxenergy. jeden Tag irgendwelche neuen ""Geschichten"" und ""Theorien"" warum das gerade nicht geht. wir zahlen für 1000 kw pro Monat und brauchen ca 50 kw im Monat dank Photovoltaik. aber runtersetzen auf 500! kw (was auch noch viel zu viel ist) ist bei max energy UNMÖGLICH. furchtbares unternehmen mit inkompetenten Kundenservice! achja aber bei Mahungen, Kündigungen oder Preiserhöhungen schicken sind sie schnell- die bekommst du in der Sekunde. wir werden den Anbieter so schnell wie möglich wieder wechseln.

(Translated by Google)
Customer service is ZERO. do what they want with the customers. Callbacks are promised, but no one answers. Department not available at any time of the day. You receive 0185 replies to email. Here the customer is an absolute supplicant and is being ripped off from beginning to end. We have been trying to get the partial payment reduced for 3 months because we have installed photovoltaics. is impossible with Maxenergy. Every day there are new “stories” and “theories” as to why this isn’t possible. We pay for 1000 kw per month and need about 50 kw per month thanks to photovoltaics. but reduce it to 500! kw (which is also way too much) is IMPOSSIBLE with max energy. Terrible company with incompetent customer service! Oh yes, but they are quick when it comes to sending reminders, cancellations or price increases - you get them in the second. We will change providers again as soon as possible.",2023-07-31 13:50:17.157,"kundenservice gleich null machen mit den kunden was sie wollen rckrufe werden versprochen keiner meldet sich fachabteilung zu keinster tageszeit erreichbar auf email erhlt man 0185 antworten hier ist der kunde absoluter bittsteller und wird von vorn bis hinten verarscht wir versuchen uns seit 3 monaten vom teilzahlungsbetrag runtersetzen zu lassen weil wir eine photovoltaik installiert haben ist unmglich bei maxenergy jeden tag irgendwelche neuen geschichten und theorien warum das gerade nicht geht wir zahlen fr 1000 kw pro monat und brauchen ca 50 kw im monat dank photovoltaik aber runtersetzen auf 500 kw was auch noch viel zu viel ist ist bei max energy unmglich furchtbares unternehmen mit inkompetenten kundenservice achja aber bei mahungen kndigungen oder preiserhhungen schicken sind sie schnell die bekommst du in der sekunde wir werden den anbieter so schnell wie mglich wieder wechseln

translated by google
customer service is zero do what they want with the customers callbacks are promised but no one answers department not available at any time of the day you receive 0185 replies to email here the customer is an absolute supplicant and is being ripped off from beginning to end we have been trying to get the partial payment reduced for 3 months because we have installed photovoltaics is impossible with maxenergy every day there are new stories and theories as to why this isnt possible we pay for 1000 kw per month and need about 50 kw per month thanks to photovoltaics but reduce it to 500 kw which is also way too much is impossible with max energy terrible company with incompetent customer service oh yes but they are quick when it comes to sending reminders cancellations or price increases  you get them in the second we will change providers again as soon as possible",neg,1,2023-07,1800,297
Gerhard Steiner,FIVE,"Habe erst vor kurzem den Wechsel zu MaxEnergie gemacht und kann daher nur zum Anbieterwechsel (Ablauf) etwas dazu sagen.
Meine Beurteilung = sehr gut

(Translated by Google)
I only recently switched to MaxEnergie and can therefore only say something about the change of provider (process).
My assessment = very good",2023-07-31 08:50:08.807,"habe erst vor kurzem den wechsel zu maxenergie gemacht und kann daher nur zum anbieterwechsel ablauf etwas dazu sagen
meine beurteilung  sehr gut

translated by google
i only recently switched to maxenergie and can therefore only say something about the change of provider process
my assessment  very good",pos,5,2023-07,305,48
Karl Zeilinger,FIVE,"Problemlose Abwicklung!

(Translated by Google)
Hassle-free transaction!",2023-07-31 06:25:18.910,"problemlose abwicklung

translated by google
hasslefree transaction",pos,5,2023-07,67,7
Carine Stirling-Raoul,FIVE,"unkompliziert, freundlich, kostensparend, ...

(Translated by Google)
uncomplicated, friendly, cost-saving, ...",2023-07-28 05:01:15.087,"unkompliziert freundlich kostensparend 

translated by google
uncomplicated friendly costsaving ",pos,5,2023-07,96,9
